1,3,4,5,6,7
Shay Mitchell,Megan Reed,,,,
Grey Damon,Andrew Kurtz,,,,
Kirby Johnson,Hannah Grace / Cadaver,,,,
Nick Thune,Randy,,,,
Louis Herthum,Man / Killer / Grainger,,,,
Stana Katic,Lisa Roberts,,,,
Maximillian McNamara,Dave (as Max McNamara),,,,
Jacob Ming-Trent,Ernie Gainor,,,,
James A. Watson Jr.,Dr. Henry Lewis,,,,
Marianne Bayard,Female Ambulance Driver,,,,
Adrian M. Mompoint,Other Ambulance Driver (as Adrian Mompoint),,,,
Matt Mings,Megan's Police Partner,,,,
Gijs Scholten van Aschat,Father Marcato,,,,
Guy Clemens,Father Cunningham,,,,
Sean Burns,Junkie,,,,
Angela Bain,Snuffer Woman,,,,
Richard Cant,Thomas Andrews,,,,
Guy Rhys,Earl of Kent,,,,
Thom Petty,Earl of Shrewsbury,,,,
Saoirse Ronan,Mary Stuart,,,,
Izuka Hoyle,Mary Seton,,,,
Margot Robbie,Queen Elizabeth I,,,,
John Ramm,Bull,,,,
Simon Russell Beale,Robert Beale,,,,
Abby Cassidy,Fotheringhay Gentlewoman,,,,
Shalisha James-Davis,Fotheringhay Gentlewoman,,,,
Maria Dragus,Mary Fleming,,,,
Eileen O'Higgins,Mary Beaton,,,,
Liah O'Prey,Mary Livingston,,,,
Greg Miller Burns,Thomas Hepburn,,,,
Kyrie Irving,Uncle Drew,,,,
Lil Rel Howery,Dax,,,,
Shaquille O'Neal,Big Fella,,,,
Chris Webber,Preacher,,,,
Reggie Miller,Lights,,,,
Nate Robinson,Boots,,,,
Lisa Leslie,Betty Lou,,,,
Erica Ash,Maya,,,,
Tiffany Haddish,Jess,,,,
Nick Kroll,Mookie,,,,
Aaron Gordon,Casper,,,,
Mike Epps,Louis,,,,
J.B. Smoove,Angelo,,,,
Wesley Witherspoon,Mario,,,,
Thomas Mills,Duke Tango,,,,
Joey King,Wren,,,,
Julia Goldani Telles,Hallie,,,,
Jaz Sinclair,Chloe,,,,
Annalise Basso,Katie,,,,
Alex Fitzalan,Tom,,,,
Taylor Richardson,Lizzie,,,,
Javier Botet,Slender Man,,,,
Jessica Blank,Hallie's Mother,,,,
Michael Reilly Burke,Hallie's Dad,,,,
Kevin Chapman,Mr. Jensen,,,,
Miguel Nascimento,Kyle,,,,
Eddie Frateschi,Biology Teacher,,,,
Oscar Wahlberg,Boy with Glasses (as Oscar Robert Wahlberg),,,,
Danny Beaton,Burley Kid (as Daniel Beaton),,,,
Gabrielle Lorthe,Cheerleader,,,,
Jennifer Garner,Riley North,,,,
John Gallagher Jr.,Detective Stan Carmichael,,,,
John Ortiz,Detective Moises Beltran,,,,
Juan Pablo Raba,Diego Garcia,,,,
Annie Ilonzeh,FBI Agent Lisa Inman,,,,
Jeff Hephner,Chris North,,,,
Cailey Fleming,Carly North,,,,
Eddie Shin,FBI Agent Li,,,,
Method Man,Narcotics Detective Barker (as Cliff 'Method Man' Smith),,,,
Tyson Ritter,Homeless Sam,,,,
Ian Casselberry,Cortez,,,,
Richard Cabral,Salazar,,,,
Johnny Ortiz,Torres,,,,
Michael Reventar,Ortega,,,,
Kyla-Drew,Maria (as Kyla-Drew Simmons),,,,
Eddie Redmayne,Dug (voice),,,,
Tom Hiddleston,Lord Nooth (voice),,,,
Maisie Williams,Goona (voice),,,,
Timothy Spall,Chief Bobnar (voice),,,,
Miriam Margolyes,Queen Oofeefa (voice),,,,
Rob Brydon,Message Bird / Brian / Bryan / Gonad the Gaul (voice),,,,
Kayvan Novak,Dino / Jurgend (voice),,,,
Richard Ayoade,Treebor (voice),,,,
Selina Griffiths,Magma / Additional Voices (voice),,,,
Johnny Vegas,Asbo (voice),,,,
Mark Williams,Barry (voice),,,,
Gina Yashere,Gravelle (voice),,,,
Richard Webber,Grubup (voice),,,,
Simon Greenall,Eemak / Thongo / Additional Voices (voice),,,,
Nick Park,Hognob (voice),,,,
Shailene Woodley,Tami Oldham,,,,
Sam Claflin,Richard Sharp,,,,
Jeffrey Thomas,Peter Crompton,,,,
Elizabeth Hawthorne,Christine Crompton,,,,
Grace Palmer,Deb,,,,
Tami Ashcraft,Tami Ashcraft,,,,
Siale Tunoka,Customs Agent,,,,
Kael Damlamian,Smiley,,,,
Lei-Ming Caine,Outrigger Girl,,,,
Neil Andrea,Crewman,,,,
Apakuki Nalawa,Musician,,,,
Tim Solomon,Musician,,,,
Bryan Cranston,Chief (voice),,,,
Koyu Rankin,Atari (voice),,,,
Edward Norton,Rex (voice),,,,
Bob Balaban,King (voice),,,,
Jeff Goldblum,Duke (voice),,,,
Bill Murray,Boss (voice),,,,
Kunichi Nomura,Mayor Kobayashi (voice),,,,
Akira Takayama,Major-Domo (voice),,,,
Greta Gerwig,Tracy Walker (voice),,,,
Frances McDormand,Interpreter Nelson (voice),,,,
Akira Ito,Professor Watanabe (voice),,,,
Scarlett Johansson,Nutmeg (voice),,,,
Harvey Keitel,Gondo (voice),,,,
F. Murray Abraham,Jupiter (voice),,,,
Yoko Ono,Assistant-Scientist Yoko-ono (voice),,,,
Melissa McCarthy,Deanna,,,,
Matt Walsh,Dan,,,,
Molly Gordon,Maddie,,,,
Ben Falcone,Uber Driver,,,,
Jacki Weaver,Sandy,,,,
Stephen Root,Mike,,,,
Maya Rudolph,Christine,,,,
Steve Falcone,Older Man #1 / Vince,,,,
Michael D. McCarthy,Older Man #2 / Dennis,,,,
Chris Cavalier,Eugene,,,,
Gillian Jacobs,Helen,,,,
Adria Arjona,Amanda,,,,
Jessie Ennis,Debbie,,,,
Flynn Falcone,Guidance Counselor,,,,
Julie Coile,Bookstore Cashier,,,,
Mark Wahlberg,James Silva,,,,
Lauren Cohan,Alice Kerr,,,,
Iko Uwais,Li Noor,,,,
John Malkovich,Bishop,,,,
Ronda Rousey,Sam Snow,,,,
Carlo Alban,William Douglas III (as Carlo Albán),,,,
Natasha Goubskaya,Vera,,,,
Chae-rin Lee,Queen (as Chae Rin Lee),,,,
Sam Medina,Axel,,,,
Keith Arthur Bolden,King,,,,
Jenique Hendrix,Knight,,,,
Billy Smith,Rook,,,,
Myke Holmes,Pawn,,,,
Emily Skeggs,M.I.T.,,,,
Terry Kinney,Johnny Porter,,,,
Nick Robinson,Simon,,,,
Jennifer Garner,Emily,,,,
Josh Duhamel,Jack,,,,
Katherine Langford,Leah,,,,
Alexandra Shipp,Abby,,,,
Logan Miller,Martin,,,,
Keiynan Lonsdale,Bram,,,,
Jorge Lendeborg Jr.,Nick,,,,
Talitha Eliana Bateman,Nora (as Talitha Bateman),,,,
Tony Hale,Mr. Worth,,,,
Natasha Rothwell,Ms. Albright,,,,
Miles Heizer,Cal,,,,
Joey Pollari,Lyle,,,,
Clark Moore,Ethan,,,,
Drew Starkey,Garrett,,,,
Chris Hemsworth,Captain Mitch Nelson,,,,
Michael Shannon,Hal Spencer,,,,
Michael Peña,Sam Diller,,,,
Navid Negahban,Gen. Dostum,,,,
Trevante Rhodes,Ben Milo,,,,
Geoff Stults,Sean Coffers,,,,
Thad Luckinbill,Vern Michaels,,,,
Austin Hébert,Pat Essex,,,,
Austin Stowell,Fred Falls,,,,
Ben O'Toole,Scott Black,,,,
Kenneth Miller,Kevin Jackson,,,,
Kenny Sheard,Bill Bennett,,,,
