,index,Id,Name,Year,Gender,Count,Rank
0,1045685,1045686,Jessica,1989,F,47882,100.0
1,1045686,1045687,Ashley,1989,F,47586,99.0
2,1045687,1045688,Brittany,1989,F,37786,98.0
3,1045688,1045689,Amanda,1989,F,36826,97.0
4,1045689,1045690,Sarah,1989,F,27790,96.0
5,1045690,1045691,Samantha,1989,F,24791,95.0
6,1045691,1045692,Jennifer,1989,F,23991,94.0
7,1045692,1045693,Stephanie,1989,F,22767,93.0
8,1045693,1045694,Lauren,1989,F,21063,92.0
9,1045694,1045695,Elizabeth,1989,F,20291,91.0
10,1045695,1045696,Megan,1989,F,19785,90.0
11,1045696,1045697,Nicole,1989,F,19022,89.0
12,1045697,1045698,Emily,1989,F,17322,88.0
13,1045698,1045699,Amber,1989,F,16757,87.0
14,1045699,1045700,Heather,1989,F,16249,86.0
15,1045700,1045701,Tiffany,1989,F,15711,85.0
16,1045701,1045702,Danielle,1989,F,15365,84.0
17,1045702,1045703,Rachel,1989,F,15354,83.0
18,1045703,1045704,Melissa,1989,F,15202,82.0
19,1045704,1045705,Kayla,1989,F,14901,81.0
20,1045705,1045706,Courtney,1989,F,13452,80.0
21,1045706,1045707,Michelle,1989,F,13378,79.0
22,1045707,1045708,Christina,1989,F,13136,78.0
23,1045708,1045709,Rebecca,1989,F,12431,77.0
24,1045709,1045710,Laura,1989,F,11739,76.0
25,1045710,1045711,Katherine,1989,F,11419,75.0
26,1045711,1045712,Chelsea,1989,F,11247,74.0
27,1045712,1045713,Kimberly,1989,F,11034,73.0
28,1045713,1045714,Sara,1989,F,9706,72.0
29,1045714,1045715,Jasmine,1989,F,9548,71.0
30,1045715,1045716,Kelsey,1989,F,9257,70.0
31,1045716,1045717,Crystal,1989,F,9101,69.0
32,1045717,1045718,Alyssa,1989,F,9043,68.0
33,1045718,1045719,Erica,1989,F,9023,67.0
34,1045719,1045720,Amy,1989,F,8898,66.0
35,1045720,1045721,Kristen,1989,F,8800,65.0
36,1045721,1045722,Kelly,1989,F,8761,64.0
37,1045722,1045723,Mary,1989,F,8642,63.0
38,1045723,1045724,Andrea,1989,F,8407,62.0
39,1045724,1045725,Erin,1989,F,8142,61.0
40,1045725,1045726,Brittney,1989,F,7832,60.0
41,1045726,1045727,Hannah,1989,F,7829,59.0
42,1045727,1045728,Alexandra,1989,F,7676,58.0
