,index,Id,Name,Year,Gender,Count,Rank
14542,1060227,1060228,Michael,1989,M,65374,100.0
14543,1060228,1060229,Christopher,1989,M,53175,99.0
14544,1060229,1060230,Matthew,1989,M,45372,98.0
14545,1060230,1060231,Joshua,1989,M,44089,97.0
14546,1060231,1060232,David,1989,M,35203,96.0
14547,1060232,1060233,Daniel,1989,M,34986,95.0
14548,1060233,1060234,Andrew,1989,M,34811,94.0
14549,1060234,1060235,Justin,1989,M,32843,93.0
14550,1060235,1060236,James,1989,M,32695,92.0
14551,1060236,1060237,Robert,1989,M,30064,91.0
14552,1060237,1060238,Joseph,1989,M,29871,90.0
14553,1060238,1060239,John,1989,M,29836,89.0
14554,1060239,1060240,Ryan,1989,M,28408,88.0
14555,1060240,1060241,Nicholas,1989,M,28220,87.0
14556,1060241,1060242,William,1989,M,24673,86.0
14557,1060242,1060243,Anthony,1989,M,24423,85.0
14558,1060243,1060244,Jonathan,1989,M,23598,84.0
14559,1060244,1060245,Brandon,1989,M,23305,83.0
14560,1060245,1060246,Kevin,1989,M,21199,82.0
14561,1060246,1060247,Kyle,1989,M,20875,81.0
14562,1060247,1060248,Eric,1989,M,18975,80.0
14563,1060248,1060249,Steven,1989,M,18922,79.0
14564,1060249,1060250,Thomas,1989,M,18431,78.0
14565,1060250,1060251,Brian,1989,M,18097,77.0
14566,1060251,1060252,Zachary,1989,M,18073,76.0
14567,1060252,1060253,Jacob,1989,M,17829,75.0
14568,1060253,1060254,Adam,1989,M,16927,74.0
14569,1060254,1060255,Timothy,1989,M,16424,73.0
14570,1060255,1060256,Benjamin,1989,M,15728,72.0
14571,1060256,1060257,Tyler,1989,M,15588,71.0
14572,1060257,1060258,Aaron,1989,M,15315,70.0
14573,1060258,1060259,Alexander,1989,M,14517,69.0
14574,1060259,1060260,Richard,1989,M,14133,68.0
14575,1060260,1060261,Jeremy,1989,M,13078,67.0
14576,1060261,1060262,Jason,1989,M,12600,66.0
14577,1060262,1060263,Charles,1989,M,12244,65.0
14578,1060263,1060264,Jeffrey,1989,M,12009,64.0
14579,1060264,1060265,Patrick,1989,M,11982,63.0
14580,1060265,1060266,Sean,1989,M,11889,62.0
14581,1060266,1060267,Stephen,1989,M,11734,61.0
14582,1060267,1060268,Travis,1989,M,11521,60.0
14583,1060268,1060269,Mark,1989,M,11311,59.0
14584,1060269,1060270,Nathan,1989,M,10901,58.0
14585,1060270,1060271,Jordan,1989,M,10869,57.0
