ID,Actors,Country,Director,Genre,Metascore,Poster,Ratings,Title,Writer,Year,imdbID,imdbRating,imdbVotes,Characters
0,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody",USA,Steven Spielberg,"Action, Adventure",65.0,https://m.media-amazon.com/images/M/MV5BMjNkMzc2N2QtNjVlNS00ZTk5LTg0MTgtODY2MDAwNTMwZjBjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",Indiana Jones and the Last Crusade,"Jeffrey Boam (screenplay), George Lucas (story), Menno Meyjes (story), George Lucas (characters), Philip Kaufman (characters)",1989,tt0097576,8.2,"638,924","Indiana Jones, Professor Henry Jones, Marcus Brody, Elsa, Sallah, Walter Donovan, Young Indy, Vogel, Kazim, Grail Knight"
1,"Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl","USA, UK",Tim Burton,"Action, Adventure",69.0,https://m.media-amazon.com/images/M/MV5BMTYwNjAyODIyMF5BMl5BanBnXkFtZTYwNDMwMDk2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",Batman,"Bob Kane (Batman characters), Sam Hamm (story), Sam Hamm (screenplay), Warren Skaaren (screenplay)",1989,tt0096895,7.6,"314,665","Batman / Bruce Wayne, Joker / Jack Napier, Vicki Vale, Alexander Knox, Commissioner Gordon, Harvey Dent, Alfred, Grissom, Alicia, Bob the Goon"
2,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson",USA,Robert Zemeckis,"Adventure, Comedy, Sci-Fi",57.0,https://m.media-amazon.com/images/M/MV5BZTMxMGM5MjItNDJhNy00MWI2LWJlZWMtOWFhMjI5ZTQwMWM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",Back to the Future Part II,"Robert Zemeckis (characters), Bob Gale (characters), Robert Zemeckis (story), Bob Gale (story), Bob Gale (screenplay)",1989,tt0096874,7.8,"431,311","Marty McFly / Marty McFly Jr. / Marlene McFly, Doctor Emmett Brown, Lorraine, Biff Tannen / Griff, Jennifer, Strickland, George McFly, 3-D, Match, Skinhead"
3,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles",USA,Peter Weir,"Comedy, Drama",79.0,https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",Dead Poets Society,Tom Schulman,1989,tt0097165,8.1,"372,883","John Keating, Neil Perry, Todd Anderson, Knox Overstreet, Charlie Dalton, Richard Cameron, Steven Meeks, Gerard Pitts, Mr. Nolan, Mr. Perry"
4,"Mel Gibson, Danny Glover, Joe Pesci, Joss Ackland",USA,Richard Donner,"Action, Crime, Thriller",70.0,https://m.media-amazon.com/images/M/MV5BYTg0YmE1M2ItNGM2OC00MmZjLTgwMTMtZjlmOGE4N2EyNTVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",Lethal Weapon 2,"Jeffrey Boam (screenplay), Shane Black (story), Warren Murphy (story), Shane Black (characters)",1989,tt0097733,7.2,"149,826","Martin Riggs, Roger Murtaugh, Leo Getz, Arjen Rudd, Pieter Vorstedt, Rika Van Den Haas, Trish Murtaugh, Rianne Murtaugh, Captain Murphy, Hans"
5,"Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland","USA, Mexico",Joe Johnston,"Adventure, Comedy, Family, Sci-Fi",63.0,https://m.media-amazon.com/images/M/MV5BOTQ1NTg4MDAtOGU0OS00ZGQwLTliZjQtNDEzZjAzZGI5MjFjXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '63/100'}]","Honey, I Shrunk the Kids","Stuart Gordon (story), Brian Yuzna (story), Ed Naha (story), Ed Naha (screenplay), Tom Schulman (screenplay)",1989,tt0097523,6.3,"130,475","Wayne Szalinski, Big Russ Thompson, Diane Szalinski, Mae Thompson, Little Russ Thompson (as Thomas Brown), Ron Thompson, Amy Szalinski, Nick Szalinski, Tommy Pervis, Don Forrester"
6,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",USA,Ivan Reitman,"Action, Comedy, Fantasy, Sci-Fi",56.0,https://m.media-amazon.com/images/M/MV5BMTQ2NTk4MjE5Ml5BMl5BanBnXkFtZTgwODIwNjYxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",Ghostbusters II,"Dan Aykroyd (characters), Harold Ramis (characters), Harold Ramis, Dan Aykroyd",1989,tt0097428,6.5,"168,985","Dr. Peter Venkman, Dr. Raymond Stantz, Dana Barrett, Dr. Egon Spengler, Louis Tully, Winston Zeddemore, Janine Melnitz, Dr. Janosz Poha, The Judge, The Mayor of NY"
7,"Rene Auberjonois, Christopher Daniel Barnes, Jodi Benson, Pat Carroll",USA,"Ron Clements, John Musker","Animation, Family, Fantasy, Musical, Romance",88.0,https://m.media-amazon.com/images/M/MV5BN2JlZTBhYTEtZDE3OC00NTA3LTk5NTQtNjg5M2RjODllM2M0XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",The Little Mermaid,"John Musker, Ron Clements, Hans Christian Andersen (fairy tale), Howard Ashman (additional dialogue), Gerrit Graham (additional dialogue), Sam Graham (additional dialogue), Chris Hubbell (additional dialogue)",1989,tt0097757,7.6,"213,330","Louis (voice) (as René Auberjonois), Eric (voice), Ariel (voice), Ursula (voice), Flotsam / Jetsam (voice), Scuttle (voice), Flounder (voice), Triton (voice), Carlotta (voice), Seahorse (voice)"
8,"Tom Cruise, Raymond J. Barry, Caroline Kava, Josh Evans",USA,Oliver Stone,"Biography, Drama, War",75.0,https://m.media-amazon.com/images/M/MV5BMTgwNDk5NTA0NF5BMl5BanBnXkFtZTgwMTkyMDUxMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",Born on the Fourth of July,"Ron Kovic (book), Oliver Stone (screenplay), Ron Kovic (screenplay)",1989,tt0096969,7.2,"90,118","Ron Kovic, Mr. Kovic, Mrs. Kovic, Tommy Kovic, Jimmy Kovic, Suzanne Kovic, Patty Kovic, Recruiting Gunnery Sgt. Hayes, Timmy, Steve Boyer"
9,"Michael Douglas, Kathleen Turner, Danny DeVito, Marianne Sägebrecht",USA,Danny DeVito,"Comedy, Romance",79.0,https://m.media-amazon.com/images/M/MV5BZGMxOWM5ZWQtYmYyOC00OGE2LWFhODItNzcyZmYyZDBhMjdkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",The War of the Roses,"Warren Adler (novel), Michael Leeson (screenplay)",1989,tt0098621,6.8,"44,768","Oliver Rose, Barbara Rose, Gavin D'Amato, Susan, Josh at 17, Carolyn at 17, Harry Thurmont, Jason Larrabee, Man in Chair, Mrs. Marshall"
10,"Timothy Dalton, Carey Lowell, Robert Davi, Talisa Soto","UK, Mexico, USA",John Glen,"Action, Adventure, Thriller",58.0,https://m.media-amazon.com/images/M/MV5BODY3M2I0NGItYzJhNy00M2NiLThhMDgtNjZkNjA1NTQzMDM4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",Licence to Kill,"Michael G. Wilson, Richard Maibaum, Ian Fleming (characters)",1989,tt0097742,6.6,"86,771","James Bond, Pam Bouvier, Franz Sanchez, Lupe Lamora, Milton Krest, Sharkey, Felix Leiter, Professor Joe Butcher, Dario, Truman-Lodge"
11,"Morgan Freeman, Jessica Tandy, Dan Aykroyd, Patti LuPone",USA,Bruce Beresford,Drama,81.0,https://m.media-amazon.com/images/M/MV5BMDE2ZTY3YmUtZTFhYy00ZmU2LWI2NjktY2NmZGZlYjg5OGMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",Driving Miss Daisy,"Alfred Uhry (screenplay), Alfred Uhry (play)",1989,tt0097239,7.4,"89,720","Hoke Colburn, Daisy Werthan, Boolie Werthan, Florine Werthan (as Patti Lupone), Idella, Miss McClatchey (as Joann Havrilla), Oscar, Dr. Weil, Nonie, Miriam"
12,"Michael Douglas, Andy Garcia, Ken Takakura, Kate Capshaw","USA, Japan",Ridley Scott,"Action, Crime, Thriller",56.0,https://m.media-amazon.com/images/M/MV5BYjZjZDU1OWItNjQ2YS00MGY4LWE0ODgtODlkMzU3ZjlmODkyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",Black Rain,"Craig Bolotin, Warren Lewis",1989,tt0096933,6.6,"45,744","Nick Conklin, Charlie Vincent, Masahiro, Joyce, Sato, Ohashi (as Shigeru Koyama), Oliver, Katayama, Nashida, Sugai"
13,"Steve Martin, Mary Steenburgen, Dianne Wiest, Jason Robards",USA,Ron Howard,"Comedy, Drama",82.0,https://m.media-amazon.com/images/M/MV5BMTQ3OTIwNzI2OV5BMl5BanBnXkFtZTgwNjgwNTcxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",Parenthood,"Lowell Ganz (story), Babaloo Mandel (story), Ron Howard (story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)",1989,tt0098067,7.0,"41,351","Gil, Karen, Helen, Frank, Nathan, Larry, Julie, Tod, Susan (as Harley Kozak), David Brodsky"
14,"Al Pacino, Ellen Barkin, John Goodman, Michael Rooker","USA, Canada",Harold Becker,"Crime, Drama, Mystery, Romance, Thriller",66.0,https://m.media-amazon.com/images/M/MV5BYjk5MTY0NTYtZTgzMi00NjVlLTk5ZWUtZWNmODUyYTkyNTQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",Sea of Love,Richard Price,1989,tt0098273,6.8,"34,828","Det. Frank Keller, Helen Cruger, Det. Sherman, Terry, Frank Keller Sr., Gruber, Serafino, Struk, Dargan, Lieutenant"
