,Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
0,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody",Won 1 Oscar. Another 6 wins & 20 nominations.,N/A,USA,21 Oct 2003,Steven Spielberg,,"Action, Adventure","English, German, Greek, Arabic",65,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",https://m.media-amazon.com/images/M/MV5BMjNkMzc2N2QtNjVlNS00ZTk5LTg0MTgtODY2MDAwNTMwZjBjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",24 May 1989,True,127 min,Indiana Jones and the Last Crusade,movie,http://www.indianajones.com/,"Jeffrey Boam (screenplay), George Lucas (story), Menno Meyjes (story), George Lucas (characters), Philip Kaufman (characters)",1989,tt0097576,8.2,"638,924",
1,"Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl",Won 1 Oscar. Another 8 wins & 26 nominations.,N/A,"USA, UK",25 Mar 1997,Tim Burton,,"Action, Adventure","English, French, Spanish",69,The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.,https://m.media-amazon.com/images/M/MV5BMTYwNjAyODIyMF5BMl5BanBnXkFtZTYwNDMwMDk2._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",23 Jun 1989,True,126 min,Batman,movie,N/A,"Bob Kane (Batman characters), Sam Hamm (story), Sam Hamm (screenplay), Warren Skaaren (screenplay)",1989,tt0096895,7.6,"314,665",
2,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson",Nominated for 1 Oscar. Another 9 wins & 8 nominations.,N/A,USA,17 Dec 2002,Robert Zemeckis,,"Adventure, Comedy, Sci-Fi",English,57,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",https://m.media-amazon.com/images/M/MV5BZTMxMGM5MjItNDJhNy00MWI2LWJlZWMtOWFhMjI5ZTQwMWM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",22 Nov 1989,True,108 min,Back to the Future Part II,movie,http://www.backtothefuture.com/,"Robert Zemeckis (characters), Bob Gale (characters), Robert Zemeckis (story), Bob Gale (story), Bob Gale (screenplay)",1989,tt0096874,7.8,"431,311",
3,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
4,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles",Won 1 Oscar. Another 18 wins & 18 nominations.,N/A,USA,10 Nov 1998,Peter Weir,,"Comedy, Drama","English, Latin",79,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.,https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Buena Vista Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",09 Jun 1989,True,128 min,Dead Poets Society,movie,N/A,Tom Schulman,1989,tt0097165,8.1,"372,883",
5,"Mel Gibson, Danny Glover, Joe Pesci, Joss Ackland",Nominated for 1 Oscar. Another 1 win.,N/A,USA,27 Aug 1997,Richard Donner,,"Action, Crime, Thriller","English, Afrikaans",70,Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.,https://m.media-amazon.com/images/M/MV5BYTg0YmE1M2ItNGM2OC00MmZjLTgwMTMtZjlmOGE4N2EyNTVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",07 Jul 1989,True,114 min,Lethal Weapon 2,movie,N/A,"Jeffrey Boam (screenplay), Shane Black (story), Warren Murphy (story), Shane Black (characters)",1989,tt0097733,7.2,"149,826",
6,"Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland",Won 1 BAFTA Film Award. Another 1 win & 10 nominations.,N/A,"USA, Mexico",08 Oct 2002,Joe Johnston,,"Adventure, Comedy, Family, Sci-Fi",English,63,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,https://m.media-amazon.com/images/M/MV5BOTQ1NTg4MDAtOGU0OS00ZGQwLTliZjQtNDEzZjAzZGI5MjFjXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,Disney,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",23 Jun 1989,True,93 min,"Honey, I Shrunk the Kids",movie,N/A,"Stuart Gordon (story), Brian Yuzna (story), Ed Naha (story), Ed Naha (screenplay), Tom Schulman (screenplay)",1989,tt0097523,6.3,"130,475",
7,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",2 wins & 1 nomination.,N/A,USA,29 Jun 1999,Ivan Reitman,,"Action, Comedy, Fantasy, Sci-Fi",English,56,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.,https://m.media-amazon.com/images/M/MV5BMTQ2NTk4MjE5Ml5BMl5BanBnXkFtZTgwODIwNjYxMTE@._V1_SX300.jpg,Sony Pictures Home Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",16 Jun 1989,True,108 min,Ghostbusters II,movie,N/A,"Dan Aykroyd (characters), Harold Ramis (characters), Harold Ramis, Dan Aykroyd",1989,tt0097428,6.5,"168,985",
8,"Rene Auberjonois, Christopher Daniel Barnes, Jodi Benson, Pat Carroll",Won 2 Oscars. Another 10 wins & 8 nominations.,N/A,USA,07 Dec 1999,"Ron Clements, John Musker",,"Animation, Family, Fantasy, Musical, Romance","English, French",88,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,https://m.media-amazon.com/images/M/MV5BN2JlZTBhYTEtZDE3OC00NTA3LTk5NTQtNjg5M2RjODllM2M0XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,Walt Disney Pictures,G,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",17 Nov 1989,True,83 min,The Little Mermaid,movie,http://www.facebook.com/DisneyTheLittleMermaid,"John Musker, Ron Clements, Hans Christian Andersen (fairy tale), Howard Ashman (additional dialogue), Gerrit Graham (additional dialogue), Sam Graham (additional dialogue), Chris Hubbell (additional dialogue)",1989,tt0097757,7.6,"213,330",
9,"Tom Cruise, Raymond J. Barry, Caroline Kava, Josh Evans",Won 2 Oscars. Another 13 wins & 25 nominations.,N/A,USA,28 Apr 1998,Oliver Stone,,"Biography, Drama, War","English, Spanish",75,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",https://m.media-amazon.com/images/M/MV5BMTgwNDk5NTA0NF5BMl5BanBnXkFtZTgwMTkyMDUxMDE@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",05 Jan 1990,True,145 min,Born on the Fourth of July,movie,N/A,"Ron Kovic (book), Oliver Stone (screenplay), Ron Kovic (screenplay)",1989,tt0096969,7.2,"90,118",
